time,High_level,linear_acc.x,linear_acc.y,linear_acc.z
71.8700847626,Inactive,861.0,840.0,381.0
71.8901870251,Inactive,867.0,705.0,195.0
71.9066743851,Inactive,583.0,697.0,-177.0
71.9270474911,Inactive,392.0,811.0,-187.0
71.9474523067,Inactive,244.0,931.0,-104.0
71.9699130058,Inactive,161.0,1257.0,135.0
71.9885218143,Inactive,291.0,1258.0,172.0
72.0092742443,Inactive,692.0,957.0,-196.0
72.0298070908,Inactive,667.0,881.0,-99.0
72.0499629974,Inactive,619.0,799.0,-124.0
72.0708887577,Inactive,229.0,800.0,-170.0
72.0907452106,Inactive,132.0,873.0,-108.0
72.1120584011,Inactive,176.0,946.0,29.0
72.1330981255,Inactive,458.0,1137.0,305.0
72.1525170803,Inactive,551.0,1156.0,437.0
72.1729216576,Inactive,573.0,1062.0,519.0
72.1933059692,Inactive,639.0,811.0,315.0
72.2138662338,Inactive,720.0,882.0,182.0
72.2349729538,Inactive,707.0,953.0,60.0
72.2547466755,Inactive,563.0,763.0,-256.0
72.2752764225,Inactive,527.0,747.0,-299.0
72.2962939739,Inactive,718.0,670.0,-313.0
72.3162360191,Inactive,818.0,543.0,-367.0
72.3369791508,Inactive,858.0,607.0,-200.0
72.3571310043,Inactive,707.0,1063.0,676.0
72.37748956680001,Inactive,427.0,1101.0,1147.0
72.3985002041,Inactive,354.0,1140.0,977.0
72.4185795784,Inactive,472.0,1254.0,226.0
72.4392206669,Inactive,543.0,1308.0,-26.0
72.45944428439999,Inactive,508.0,1418.0,-58.0
72.480230093,Inactive,149.0,1749.0,53.0
72.50073814390001,Inactive,-73.0,1837.0,132.0
72.52125215529999,Inactive,-215.0,1525.0,258.0
72.5415406227,Inactive,-81.0,1262.0,254.0
72.5622370243,Inactive,44.0,1055.0,242.0
72.58256936069999,Inactive,141.0,836.0,211.0
72.6042189598,Inactive,233.0,795.0,96.0
72.62361383439999,Inactive,415.0,732.0,-89.0
72.6438343525,Inactive,880.0,840.0,-113.0
72.6671133041,Inactive,908.0,1069.0,179.0
72.6847577095,Inactive,874.0,1359.0,412.0
72.7056863308,Inactive,173.0,1193.0,297.0
72.72581577300001,Inactive,7.0,890.0,-90.0
72.7462115288,Inactive,-189.0,687.0,-327.0
72.7671585083,Inactive,-171.0,524.0,-292.0
72.78746151920001,Inactive,-144.0,691.0,-196.0
72.8080639839,Inactive,167.0,1263.0,9.0
72.8288509846,Inactive,398.0,1443.0,282.0
72.8488328457,Inactive,573.0,1443.0,707.0
72.8694727421,Inactive,436.0,1014.0,1016.0
72.8895812035,Inactive,353.0,864.0,623.0
72.9103927612,Inactive,164.0,739.0,48.0
72.9319000244,Inactive,-14.0,538.0,-965.0
72.95092463489999,Inactive,-18.0,503.0,-1178.0
72.9680154324,Inactive,-81.0,488.0,-1160.0
72.9878520966,Inactive,313.0,784.0,-610.0
73.0087747574,Inactive,645.0,971.0,-129.0
73.0296487808,Inactive,659.0,1249.0,454.0
73.0494446754,Inactive,279.0,1263.0,184.0
73.0701897144,Inactive,-24.0,1251.0,-448.0
73.0901856422,Inactive,-337.0,1509.0,-1602.0
73.11144042020001,Inactive,-330.0,1635.0,-1821.0
73.1317546368,Inactive,-192.0,1704.0,-1745.0
73.1516830921,Inactive,33.0,2013.0,-406.0
73.1722633839,Inactive,36.0,2309.0,797.0
73.19296097760001,Inactive,-49.0,2368.0,2027.0
73.2136363983,Inactive,-177.0,1856.0,3269.0
73.2342660427,Inactive,71.0,1629.0,3158.0
73.25412607189999,Inactive,518.0,1272.0,2622.0
73.2751767635,Inactive,1164.0,17.0,1056.0
73.29515981670001,Inactive,1237.0,-671.0,311.0
73.3156898022,Inactive,1322.0,-1705.0,-659.0
73.3366537094,Inactive,1522.0,-1823.0,-705.0
73.3571295738,Inactive,1670.0,-1640.0,-474.0
73.37769174579999,Inactive,1657.0,-1308.0,-241.0
73.39854979520001,Inactive,1498.0,-272.0,-260.0
73.4179058075,Inactive,1449.0,268.0,-151.0
73.4390425682,Inactive,1642.0,1138.0,576.0
73.4589247704,Inactive,1545.0,1185.0,691.0
73.4794044495,Inactive,1253.0,893.0,450.0
73.500203371,Inactive,442.0,130.0,-383.0
73.5209612846,Inactive,222.0,129.0,-581.0
73.5408961773,Inactive,483.0,885.0,-418.0
73.5620427132,Inactive,498.0,1138.0,-159.0
73.5817217827,Inactive,397.0,1190.0,126.0
73.6036391258,Inactive,242.0,1181.0,683.0
73.6237902641,Inactive,286.0,1174.0,691.0
73.6431901455,Inactive,332.0,1164.0,556.0
73.6651723385,Inactive,219.0,1034.0,295.0
73.68428659439999,Inactive,94.0,822.0,134.0
73.70486330989999,Inactive,59.0,606.0,10.0
73.725331068,Inactive,167.0,671.0,36.0
73.7455708981,Inactive,182.0,801.0,321.0
73.7661981583,Inactive,354.0,937.0,503.0
73.7871558666,Inactive,413.0,894.0,462.0
73.8070669174,Inactive,355.0,697.0,270.0
73.8276438713,Inactive,303.0,547.0,25.0
73.8481984138,Inactive,266.0,560.0,17.0
73.8689193726,Inactive,281.0,650.0,54.0
73.8891952038,Inactive,404.0,850.0,264.0
73.9097120762,Inactive,483.0,931.0,361.0
73.9308681488,Inactive,533.0,951.0,445.0
73.95042562479999,Inactive,481.0,779.0,336.0
73.971155405,Inactive,431.0,682.0,261.0
73.9915106297,Inactive,358.0,721.0,331.0
74.0124344826,Inactive,336.0,828.0,442.0
74.0328137875,Inactive,304.0,912.0,554.0
74.05378651619999,Inactive,365.0,941.0,547.0
74.0733754635,Inactive,321.0,957.0,686.0
74.0945496559,Inactive,313.0,953.0,752.0
74.1143226624,Inactive,205.0,808.0,347.0
74.13509392739999,Inactive,175.0,734.0,129.0
74.15514039989999,Inactive,300.0,794.0,64.0
74.1761960983,Inactive,253.0,955.0,381.0
74.19799113270001,Inactive,217.0,984.0,454.0
74.2168064117,Inactive,244.0,899.0,219.0
74.2371881008,Inactive,309.0,870.0,138.0
74.2576217651,Inactive,305.0,896.0,160.0
74.2781095505,Inactive,240.0,933.0,271.0
74.2988152504,Inactive,210.0,939.0,336.0
74.3194699287,Inactive,255.0,905.0,309.0
74.3396408558,Inactive,289.0,759.0,223.0
74.36027526859999,Inactive,219.0,768.0,179.0
74.3806788921,Inactive,143.0,855.0,158.0
74.4013314247,Inactive,76.0,995.0,81.0
74.421454668,Inactive,126.0,1024.0,58.0
74.4422256947,Inactive,189.0,961.0,436.0
74.4648272991,Inactive,181.0,857.0,489.0
74.482886076,Inactive,139.0,724.0,411.0
74.5035252571,Inactive,155.0,684.0,139.0
74.5239078999,Inactive,215.0,812.0,64.0
74.544536829,Inactive,230.0,962.0,71.0
74.5651791096,Inactive,334.0,1108.0,293.0
74.58594179149999,Inactive,458.0,1062.0,474.0
74.60591888430001,Inactive,588.0,1003.0,579.0
74.6263434887,Inactive,567.0,1032.0,493.0
74.6468720436,Inactive,451.0,1028.0,324.0
74.6682560444,Inactive,374.0,996.0,120.0
74.6878316402,Inactive,348.0,915.0,-85.0
74.70901250840001,Inactive,339.0,913.0,-23.0
74.729678154,Inactive,332.0,916.0,195.0
